species	MMR	Qdot
Nymphicus_hollandicus	2.000	0.0000117591684031247
Oena_capensis	1.320	0.00000639594511507528
Geopelia_cuneata	1.614	0.00000650962222603493
Bubulcus_ibis	1.426	0.00004688689584041780
Riparia_riparia	2.209	0.00000369000000000000
Troglodytes_aedon	1.258	0.00000461188230530484
Hirundo_rustica	2.257	0.00000430854293712913
Delichon_urbica	1.246	0.00000582201151398509
Passer_domesticus	2.202	0.00001075443576987180
Turdus_merula	1.143	0.00001547252033019370
Sterna_paradisaea	3.677	0.00003050214809178620
Sterna_hirundo	3.000	0.00003666356523552430
Sterna_fuscata	3.674	0.00004908092812505460
Anous_stolidus	2.057	0.00006366539811384690
Larus_ridibundus	4.517	0.00006038665050851460
Larus_atricilla	3.670	0.00006343763082148120
Rissa_tridactyla	2.888	0.00007225703901629310
Larus_delawarensis	4.103	0.00007503105449770690
Catharacta_maccormicki	3.015	0.00010884699341263500
Synthliboramphus_hypoleucus	7.727	0.00005653407553935320
Cepphus_columba	2.674	0.00007943242687417470
Fratercula_arctica	3.476	0.00008828934312730000
Uria_lomvia	2.635	0.00014334146636758700
Pygoscelis_antarticus	2.077	0.00014972929456208700
Pygoscelis_adeliae	1.664	0.00015412350276804300
Pygoscelis_papua	1.764	0.00016669713903704900
Oceanodroma_leucorhoa	7.404	0.00001999174931090770
Pelecanoides_georgicus	3.915	0.00004039572124422030
Halobaena_caerulea	6.153	0.00007576771741578780
Puffinus_pacificus	2.879	0.00008324853698855290
Thalassoica_antarctica	3.167	0.00012520909678232500
Pterodroma_macroptera	2.610	0.00015784933066620400
Procellaria_cinerea	3.541	0.00018336493192600200
Macronectes_giganteus	1.853	0.00027121010584997200
Rhea_americana	1.839	0.00060086562454847100
Leipoa_ocellata	4.887	0.00020672618486417300
Alectura_lathami	3.690	0.00020749662149732200
Excalfactoria_chinensis	3.902	0.00001165683599998840
Colinus_virginianus	3.241	0.00001763866992114690
Coturnix_coturnix	4.154	0.00001905671738238210
Gallus_gallus	3.285	0.00008989873275825470
Numida_meleagris	3.289	0.00007299858672714070
Meleagris_gallopavo	2.974	0.00012064752986887800
Anas_crecca	9.573	0.00004060123608145480
Anas_platyrhynchos	7.536	0.00006419629746339240
Clangula_hyemalis	9.865	0.00006646292227979510
Aythya_affinis	8.667	0.00006983761799651870
Cairina_moschata	3.410	0.00010573205225863200
Somateria_mollissima	7.549	0.00012217138059191400
Fulica_americana	1.613	0.00004568252271243270
Charadrius_semipalmatus	4.939	0.00001929122028217150
Calidris_alpina	2.744	0.00002138008333956420
Tringa_flavipes	4.174	0.00003157910935824960
Tringa_toanus	3.752	0.00003540478798220670
Gallinago_media	2.201	0.00003687261479303930
Vanellus_vanellus	2.498	0.00003936535103181150
Pluvialis_dominica	2.990	0.00004507823745930570
Limosa_limosa	3.204	0.00006076948637466850
Numenius_phaeopus	3.292	0.00007114218883130770
Numenius_arquata	3.008	0.00010970945092450300
Archaeopteryx_Munich_Specimen	NA	0.0004084464
Ostromia_crassipes_Haarlem_Specimen	NA	0.0003358003270058820
Phalacrocorax_aristotelis	5.700	0.00061869507100193300
Carduelis_tristis	2.052	0.00000523789479671551
Phoebastria_nigripes	1.662	0.00034451067388915600
Chelydra_sp	0.183	0.000192319484402132
Alligator_mississippiensis	0.215	0.00149636329859651
Crocodylus_johnsoni	0.083	0.0495259540860822
Crocodylus_porosus	2.125	0.0701671215179776
